case_id,source_category,actual_weakness_pattern,type,cwe,missed_count,missed_by,expected_primitive,missed_reasoning_step,verified
case_000012,AI,Browser/extension trust-chain XSS,XSS,CWE-79,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Stored/Reflected XSS escalated to Universal XSS (UXSS) via Chrome extension externally_connectable,They recognized XSS shape but missed that a normal reflected/stored redirect bug becomes higher impact through externally_connectable extension/browser trust context.,VULNERABLE_CONFIRMED
case_000015,AI,Markdown/rendering XSS,XSS,CWE-79,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Stored XSS via Markdown image injection through linkification bypass,They focused on sanitization/linkification in isolation and missed the image-tag rendering path that keeps attacker-controlled src/HTML executable.,VULNERABLE_CONFIRMED
case_000017,AI,Indirect prompt injection + exfiltration sink,Prompt Injection,CWE-94,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Indirect Prompt Injection with Image Markdown Injection leading to data exfiltration via CSP bypass,"They did not connect malicious document content, assistant markdown output, CSP-allowed image URL loading, and chat-history/secret exfiltration.",VULNERABLE_CONFIRMED
case_000018,AI,Object authorization/IDOR in AI media workflow,Multiple,CWE-639,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,IDOR in Bard Vision + GraphQL Denial of Service,They missed that analysis results are user-owned objects and can be accessed cross-user; the AI/vision label hides a standard authorization failure.,VULNERABLE_CONFIRMED
case_000020,AI,OAuth/custom-integration URL injection,Prompt Injection,CWE-601,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,MCP OAuth URL Injection leading to XSS and RCE,They missed the multi-step path from user-registered integration URL to connect-page rendering and downstream XSS/RCE impact.,VULNERABLE_CONFIRMED
case_000025,AI,Prompt injection leaking internal routing data,Prompt Injection,CWE-94,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Prompt injection attacks on AI systems,They treated prompt handling as app logic and did not model confidential policy/routing text as a protected sink exposed through assistant output.,VULNERABLE_CONFIRMED
case_000027,AI,Training-data/secrets disclosure,Supply Chain,CWE-798,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Hardcoded Credentials in LLM Training Data,"They missed that hardcoded credentials are reachable through semantic retrieval/generation, not only literal source-code exposure.",VULNERABLE_CONFIRMED
case_000028,AI,Unauthenticated data API exposure,Information Disclosure,CWE-942,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Publicly Accessible Database without Authentication,They underweighted missing authentication on a database/query endpoint because the app context looked like internal AI/analytics tooling.,VULNERABLE_CONFIRMED
case_000029,AI,Predictable identifier / IDOR,IDOR,CWE-330,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Predictable Document IDs with weak randomness and timestamp patterns,They did not infer that timestamp/sequence-based document IDs are enumerable and grant cross-user document access.,VULNERABLE_CONFIRMED
case_000039,Auth_Bypass,Forged pagination token authorization bypass,Auth Bypass,CWE-639,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Insecure Pagination Token - Cross-Project Service Account Enumeration,They missed that pageToken carries an attacker-controlled org_id and overrides the authorized route/org context.,VULNERABLE_CONFIRMED
case_000043,Auth_Bypass,CRLF/header/credential leakage chain,Auth Bypass,CWE-426,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Credential Leakage via Carriage Return/Newline Injection,They missed that newline injection changes protocol/header semantics and leaks credentials despite otherwise normal auth flow.,VULNERABLE_CONFIRMED
case_000045,Auth_Bypass,Plaintext credential storage exposure,Auth Bypass,CWE-522,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Credential Storage in Plaintext - Local File Access,They did not treat local/readable credential records as an auth bypass primitive when accessed through the app?s file/model path.,VULNERABLE_CONFIRMED
case_000054,Business_Logic,Over-permissive policy generation,Business Logic,CWE-732,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Overly Permissive Bucket Policy,They saw policy construction as intended behavior but missed that generated default bucket policy grants unsafe broad access.,VULNERABLE_CONFIRMED
case_000056,Business_Logic,ORM/query logic injection,Business Logic,CWE-89,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,ORM Injection / Time-based Information Disclosure via relational filtering,They missed that relational/filter parameters alter ORM query semantics enough to disclose timing/data beyond intended access.,VULNERABLE_CONFIRMED
case_000074,Supply_Chain_Cloud_Resource_Hijack,Cloud resource ownership validation bypass,Other,CWE-434,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Bucket name squatting / Resource ownership validation bypass,They missed the external-resource lifecycle: registering/squatting a bucket name creates ownership confusion outside the app database.,VULNERABLE_CONFIRMED
case_000082,Side_Channel_Timing,Timing side channel,SIDE_CHANNEL,CWE-208,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Username enumeration through measurable authentication timing differential,They missed measurable timing differences in auth logic because there is no obvious direct secret-returning sink.,VULNERABLE_CONFIRMED
case_000110,XSS,Self-XSS to stored XSS escalation,XSS,CWE-79,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Stored Self-XSS elevated to Stored XSS via credentialless iframe + CSRF/Clickjacking,They classified it as low-impact/profile/self-XSS and missed credentialless iframe plus CSRF/clickjacking escalation into victim execution.,VULNERABLE_CONFIRMED
